,Sno,location,counts
0,1,"Durham, NC (Bull City)",25
1,2,"New York, NY",16
2,3,"53 East 34th St - NY, NY 10016",13
3,4,"San Pedro Garza García, Nuevo León",12
4,5,"Los Angeles, CA",11
5,6,Toronto,7
6,7,"Bamenda, Cameroon",7
7,8,"Chicago, IL",6
8,9,"Deerfield Beach, FL",6
9,10,"San Tan Valley, AZ",6
10,11,"Houston, TX",6
11,12,"Tampa, FL",6
12,13,"Atlanta, GA",6
13,14,DMV / 202-643-2328,6
14,15,"Nashville, TN",5
15,16,"New York, USA",5
16,17,Istanbul,5
17,18,"Brooklyn, NY",5
18,19,"Miami Beach, FL",5
19,20,"ATLANTA/COLUMBUS, GA",4
